OpenJDK 64-Bit Server VM (25.222-b10) for linux-amd64 JRE (1.8.0_222-8u222-b10-1ubuntu1~18.04.1-b10), built on Jul 18 2019 18:52:48 by "buildd" with gcc 7.4.0
Memory: 4k page, physical 16424660k(15521844k free), swap 0k(0k free)
CommandLine flags: -XX:CompressedClassSpaceSize=45297664 -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:MaxMetaspaceSize=53686272 -XX:+PrintGC -XX:+PrintGCTimeStamps -XX:+RequireSharedSpaces -XX:ReservedCodeCacheSize=26843136 -XX:-TieredCompilation -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC -XX:+UseSharedSpaces 
9.338: [GC (Allocation Failure)  139776K->2934K(506816K), 0.0128232 secs]
18.009: [GC (Allocation Failure)  142710K->2725K(506816K), 0.0105296 secs]
27.024: [GC (Allocation Failure)  142501K->2885K(506816K), 0.0065505 secs]
35.745: [GC (Allocation Failure)  142661K->2869K(506816K), 0.0053609 secs]
44.741: [GC (Allocation Failure)  142645K->2886K(506816K), 0.0141076 secs]
53.719: [GC (Allocation Failure)  142662K->2740K(506816K), 0.0061576 secs]
62.502: [GC (Allocation Failure)  142391K->2744K(506816K), 0.0061420 secs]
71.440: [GC (Allocation Failure)  142520K->2744K(506816K), 0.0066611 secs]
80.255: [GC (Allocation Failure)  142520K->2892K(506816K), 0.0059825 secs]
89.246: [GC (Allocation Failure)  142668K->2747K(506816K), 0.0078756 secs]
97.932: [GC (Allocation Failure)  142504K->2895K(506816K), 0.0046832 secs]
106.935: [GC (Allocation Failure)  142671K->2877K(506816K), 0.0113054 secs]
116.098: [GC (Allocation Failure)  142653K->2896K(506816K), 0.0048413 secs]
124.971: [GC (Allocation Failure)  142672K->2729K(506816K), 0.0063933 secs]
133.969: [GC (Allocation Failure)  142505K->2726K(506816K), 0.0175208 secs]
143.037: [GC (Allocation Failure)  142434K->2731K(506816K), 0.0148679 secs]
152.031: [GC (Allocation Failure)  142507K->2877K(506816K), 0.0082497 secs]
161.045: [GC (Allocation Failure)  142653K->2732K(506816K), 0.0021357 secs]
170.082: [GC (Allocation Failure)  142480K->2877K(506816K), 0.0049753 secs]
179.067: [GC (Allocation Failure)  142653K->2860K(506816K), 0.0037416 secs]
188.077: [GC (Allocation Failure)  142636K->2878K(506816K), 0.0037193 secs]
196.828: [GC (Allocation Failure)  142654K->2730K(506816K), 0.0021131 secs]
205.743: [GC (Allocation Failure)  142506K->2725K(506816K), 0.0026556 secs]
214.726: [GC (Allocation Failure)  142501K->2741K(506816K), 0.0051863 secs]
223.491: [GC (Allocation Failure)  142517K->2878K(506816K), 0.0020192 secs]
232.469: [GC (Allocation Failure)  142654K->2732K(506816K), 0.0068107 secs]
