id,is_terminated,is_working,is_available,lastWorked,busyTime,up_time,idle_time,efficiency,created_time
19,true,false,true,35999.881262,2570.738204,35997.142000,33426.403796,0.071415,2.867000
20,true,false,true,35989.227926,2589.707882,35997.000000,33407.292118,0.071942,3.009000
18,true,false,true,5.841907,2.982715,303.131907,300.149192,0.009840,2.710000
17,true,false,true,5.531105,2.986821,302.992105,300.005284,0.009858,2.539000
16,true,false,true,5.389213,3.030213,303.030213,300.000000,0.010000,2.359000
15,true,false,true,5.383166,2.969323,303.165166,300.195843,0.009794,2.218000
12,true,false,true,5.084009,3.028900,303.312009,300.283109,0.009986,1.772000
14,true,false,true,5.074027,2.982027,302.982027,300.000000,0.009842,2.092000
13,true,false,true,4.911372,2.968372,302.968372,300.000000,0.009798,1.943000
11,true,false,true,4.667681,3.033681,303.033681,300.000000,0.010011,1.634000
10,true,false,true,4.657907,2.982715,303.165907,300.183192,0.009839,1.492000
9,true,false,true,4.369105,2.986821,303.020105,300.033284,0.009857,1.349000
8,true,false,true,4.227213,3.030213,303.030213,300.000000,0.010000,1.197000
7,true,false,true,4.207166,2.969323,303.159166,300.189843,0.009795,1.048000
6,true,false,true,3.925752,3.006779,303.034752,300.027973,0.009922,0.891000
5,true,false,true,3.779637,2.993009,303.041637,300.048628,0.009877,0.738000
4,true,false,true,3.620297,2.983782,303.037297,300.053515,0.009846,0.583000
2,true,false,true,3.483907,2.982715,303.168907,300.186192,0.009838,0.315000
3,true,false,true,3.481681,3.033681,303.033681,300.000000,0.010011,0.448000
1,true,false,true,3.188105,2.986821,303.027105,300.040284,0.009857,0.161000
0,true,false,true,3.030213,3.030213,303.030213,300.000000,0.010000,0.000000
