id,is_terminated,is_working,is_available,lastWorked,busyTime,up_time,idle_time,efficiency,created_time
i156-f4,true,false,true,9000.009089,323.730249,934.788311,611.058062,0.346314,8065.224689
i155-f3,true,false,true,8999.995999,561.284644,1625.791985,1064.507341,0.345238,7374.221015
i157-f5,true,false,true,8997.512824,32.956001,109.245368,76.289367,0.301670,8890.767632
i154-f2,true,false,true,8892.416503,954.894744,3043.668113,2088.773369,0.313732,5956.344887
i150-f6,true,false,true,8065.223462,3031.944318,8362.256462,5330.312144,0.362575,2.967000
i153-f1,true,false,true,7705.447788,1484.598945,4610.723866,3126.124921,0.321988,3394.723922
i147-f3,true,false,true,5956.803779,2114.370240,6253.902779,4139.532539,0.338088,2.901000
i152-f0,true,false,true,3394.723922,385.720935,1449.830374,1064.109439,0.266046,2244.893548
i151-f7,true,false,true,2244.892786,150.265637,725.122907,574.857270,0.207228,1819.769879
i144-f0,true,false,true,1864.363709,654.052028,2161.528709,1507.476681,0.302588,2.835000
i149-f5,true,false,true,5.934637,2.993009,302.993637,300.000628,0.009878,2.941000
i148-f4,true,false,true,5.886485,2.962485,302.962485,300.000000,0.009778,2.924000
i136-f0,true,false,true,5.869738,3.170016,303.201738,300.031722,0.010455,2.668000
i145-f1,true,false,true,5.827716,2.967716,302.967716,300.000000,0.009795,2.860000
i146-f2,true,false,true,5.825739,2.944739,302.944739,300.000000,0.009720,2.881000
i142-f6,true,false,true,5.784027,2.982027,302.982027,300.000000,0.009842,2.802000
i139-f3,true,false,true,5.771681,3.033681,303.033681,300.000000,0.010011,2.738000
i141-f5,true,false,true,5.752372,2.968372,302.968372,300.000000,0.009798,2.784000
i140-f4,true,false,true,5.746297,2.983782,302.987297,300.003515,0.009848,2.759000
i143-f7,true,false,true,5.742887,2.924887,302.924887,300.000000,0.009655,2.818000
i138-f2,true,false,true,5.706907,2.982715,302.987907,300.005192,0.009844,2.719000
i134-f6,true,false,true,5.669497,3.029276,303.041497,300.012221,0.009996,2.628000
i137-f1,true,false,true,5.662716,2.967716,302.967716,300.000000,0.009795,2.695000
i131-f3,true,false,true,5.656508,3.080422,303.097508,300.017086,0.010163,2.559000
i133-f5,true,false,true,5.595637,2.993009,302.993637,300.000628,0.009878,2.602000
i132-f4,true,false,true,5.573297,2.983782,302.997297,300.013515,0.009848,2.576000
i135-f7,true,false,true,5.572887,2.924887,302.924887,300.000000,0.009655,2.648000
i129-f1,true,false,true,5.562473,3.014294,303.038473,300.024179,0.009947,2.524000
i122-f2,true,false,true,5.537690,3.089701,303.156690,300.066989,0.010192,2.381000
i128-f0,true,false,true,5.535213,3.030213,303.030213,300.000000,0.010000,2.505000
i126-f6,true,false,true,5.485752,3.006779,303.025752,300.018973,0.009923,2.460000
i130-f2,true,false,true,5.484739,2.944739,302.944739,300.000000,0.009720,2.540000
i123-f3,true,false,true,5.437681,3.033681,303.033681,300.000000,0.010011,2.404000
i125-f5,true,false,true,5.411372,2.968372,302.968372,300.000000,0.009798,2.443000
i127-f7,true,false,true,5.405887,2.924887,302.924887,300.000000,0.009655,2.481000
i124-f4,true,false,true,5.386485,2.962485,302.962485,300.000000,0.009778,2.424000
i120-f0,true,false,true,5.373213,3.030213,303.030213,300.000000,0.010000,2.343000
i119-f7,true,false,true,5.364224,3.010611,303.031224,300.020613,0.009935,2.333000
i121-f1,true,false,true,5.325716,2.967716,302.967716,300.000000,0.009795,2.358000
i118-f6,true,false,true,5.287027,2.982027,302.982027,300.000000,0.009842,2.305000
