id,is_terminated,is_working,is_available,lastWorked,busyTime,up_time,idle_time,efficiency,created_time
i6-f6,true,false,true,9000.000762,1968.575973,5718.147302,3749.571329,0.344268,3281.854698
i9-f1,true,false,true,8999.987895,660.915942,1994.724502,1333.808560,0.331332,7005.277498
i10-f2,true,false,true,8997.745959,68.856944,205.185355,136.328411,0.335584,8794.816645
i7-f7,true,false,true,8864.698979,1311.932197,3769.513017,2457.580820,0.348038,5230.488983
i8-f0,true,false,true,7327.776695,492.532571,1713.880814,1221.348243,0.287379,5913.895881
i0-f0,true,false,true,5913.894714,2095.090520,6213.894714,4118.804194,0.337162,0.000000
i3-f3,true,false,true,5230.488983,1764.790674,5382.428020,3617.637346,0.327880,148.060963
i5-f5,true,false,true,3281.853715,221.810666,943.067881,721.257215,0.235201,2638.785834
i4-f4,true,false,true,2638.784824,626.843075,2119.781066,1492.937991,0.295711,819.003758
i1-f1,true,false,true,1039.677950,316.297473,1339.657950,1023.360477,0.236103,0.020000
i2-f2,true,false,true,394.090821,134.255477,693.337112,559.081635,0.193637,0.753709
