id,is_terminated,is_working,is_available,lastWorked,busyTime,up_time,idle_time,efficiency,created_time
i10-f2,true,false,true,8999.993790,759.473438,2178.380263,1418.906825,0.348641,6821.620737
i9-f1,true,false,true,8999.956699,1057.600037,3143.999362,2086.399325,0.336387,5856.001638
i8-f0,true,false,true,8999.272154,1777.312282,4844.907991,3067.595709,0.366841,4155.093009
i11-f3,true,false,true,8963.577018,36.316877,168.648295,132.331418,0.215341,8831.352705
i6-f6,true,false,true,6822.648187,1321.910186,4022.782374,2700.872188,0.328606,3099.865813
i7-f7,true,false,true,5856.874342,832.575418,2598.896497,1766.321079,0.320357,3557.977845
i0-f0,true,false,true,4155.093009,1549.127873,4455.093009,2905.965136,0.347721,0.000000
i3-f3,true,false,true,3783.568057,1056.224953,3597.468875,2541.243922,0.293602,486.099182
i5-f5,true,false,true,3101.666819,237.124762,1092.685288,855.560526,0.217011,2308.981531
i2-f2,true,false,true,2488.359860,904.100309,2787.393178,1883.292869,0.324353,0.966682
i4-f4,true,false,true,1424.660922,3.418297,308.129502,304.711205,0.011094,1416.531420
i1-f1,true,false,true,486.366788,172.880043,786.320788,613.440745,0.219859,0.046000
