id,is_terminated,is_working,is_available,lastWorked,busyTime,up_time,idle_time,efficiency,created_time
i147-f3,true,false,true,9000.013077,3198.683552,8997.056000,5798.372448,0.355526,2.958000
i146-f2,true,false,true,8999.970076,3190.623056,8997.071000,5806.447944,0.354629,2.943000
i143-f7,true,false,true,8983.822247,3258.220906,8997.122000,5738.901094,0.362140,2.892000
i148-f4,true,false,true,5.943485,2.962485,302.962485,300.000000,0.009778,2.981000
i144-f0,true,false,true,5.943213,3.030213,303.030213,300.000000,0.010000,2.913000
i145-f1,true,false,true,5.898716,2.967716,302.967716,300.000000,0.009795,2.931000
i139-f3,true,false,true,5.862681,3.033681,303.033681,300.000000,0.010011,2.829000
i141-f5,true,false,true,5.859709,2.991081,303.002709,300.011628,0.009871,2.857000
i142-f6,true,false,true,5.856027,2.982027,302.982027,300.000000,0.009842,2.874000
i127-f7,true,false,true,5.816505,3.084269,303.213505,300.129236,0.010172,2.603000
i140-f4,true,false,true,5.806485,2.962485,302.962485,300.000000,0.009778,2.844000
i136-f0,true,false,true,5.802213,3.030213,303.030213,300.000000,0.010000,2.772000
i137-f1,true,false,true,5.794612,3.008154,303.008612,300.000458,0.009928,2.786000
i138-f2,true,false,true,5.752739,2.944739,302.944739,300.000000,0.009720,2.808000
i134-f6,true,false,true,5.750220,3.014247,303.019220,300.004973,0.009947,2.731000
i131-f3,true,false,true,5.712681,3.033681,303.033681,300.000000,0.010011,2.679000
i133-f5,true,false,true,5.709709,2.991081,302.991709,300.000628,0.009872,2.718000
i128-f0,true,false,true,5.678036,3.052249,303.057036,300.004787,0.010072,2.621000
i135-f7,true,false,true,5.676887,2.924887,302.924887,300.000000,0.009655,2.752000
i132-f4,true,false,true,5.663485,2.962485,302.962485,300.000000,0.009778,2.701000
i129-f1,true,false,true,5.639826,2.988542,302.997826,300.009284,0.009863,2.642000
i130-f2,true,false,true,5.607739,2.944739,302.944739,300.000000,0.009720,2.663000
i123-f3,true,false,true,5.603740,3.076422,303.089740,300.013318,0.010150,2.514000
i126-f6,true,false,true,5.560027,2.982027,302.982027,300.000000,0.009842,2.578000
i115-f3,true,false,true,5.541616,3.129139,303.184616,300.055477,0.010321,2.357000
i125-f5,true,false,true,5.521372,2.968372,302.968372,300.000000,0.009798,2.553000
i120-f0,true,false,true,5.519036,3.052249,303.057036,300.004787,0.010072,2.462000
i124-f4,true,false,true,5.498485,2.962485,302.962485,300.000000,0.009778,2.536000
i118-f6,true,false,true,5.450220,3.014247,303.030220,300.015973,0.009947,2.420000
i121-f1,true,false,true,5.442716,2.967716,302.967716,300.000000,0.009795,2.475000
i116-f4,true,false,true,5.434549,3.039974,303.057549,300.017575,0.010031,2.377000
i122-f2,true,false,true,5.432739,2.944739,302.944739,300.000000,0.009720,2.488000
i117-f5,true,false,true,5.367372,2.968372,302.968372,300.000000,0.009798,2.399000
i119-f7,true,false,true,5.364887,2.924887,302.924887,300.000000,0.009655,2.440000
i113-f1,true,false,true,5.356914,3.033068,303.038914,300.005846,0.010009,2.318000
i112-f0,true,false,true,5.327213,3.030213,303.030213,300.000000,0.010000,2.297000
i109-f5,true,false,true,5.299495,3.019576,303.055495,300.035919,0.009964,2.244000
i114-f2,true,false,true,5.282739,2.944739,302.944739,300.000000,0.009720,2.338000
i110-f6,true,false,true,5.282220,3.014247,303.018220,300.003973,0.009947,2.264000
i107-f3,true,false,true,5.236681,3.033681,303.033681,300.000000,0.010011,2.203000
i111-f7,true,false,true,5.225224,2.946111,302.946224,300.000113,0.009725,2.279000
i108-f4,true,false,true,5.209206,2.984691,302.990206,300.005515,0.009851,2.219000
