id,is_terminated,is_working,is_available,lastWorked,busyTime,up_time,idle_time,efficiency,created_time
18,true,false,true,35999.906721,5597.577316,35997.322000,30399.744684,0.155500,2.711000
19,true,false,true,6.102044,2.926796,303.244044,300.317248,0.009652,2.858000
17,true,false,true,5.618050,3.000699,303.070050,300.069351,0.009901,2.548000
15,true,false,true,5.473708,3.006203,303.277708,300.271505,0.009912,2.196000
16,true,false,true,5.316575,2.953575,302.953575,300.000000,0.009749,2.363000
14,true,false,true,5.056844,2.993844,302.993844,300.000000,0.009881,2.063000
10,true,false,true,5.027019,3.515928,303.575019,300.059091,0.011582,1.452000
12,true,false,true,4.878054,3.011497,303.123054,300.111557,0.009935,1.755000
13,true,false,true,4.872812,2.961812,302.961812,300.000000,0.009776,1.911000
11,true,false,true,4.715953,2.903752,303.118953,300.215201,0.009580,1.597000
9,true,false,true,4.392050,3.000699,303.067050,300.066351,0.009901,1.325000
8,true,false,true,4.223644,2.975219,303.045644,300.070425,0.009818,1.178000
7,true,false,true,4.089763,2.962284,303.065763,300.103479,0.009774,1.024000
6,true,false,true,3.942014,3.016858,303.067014,300.050156,0.009954,0.875000
5,true,false,true,3.776645,2.986457,303.046645,300.060188,0.009855,0.730000
2,true,false,true,3.764909,3.492909,303.492909,300.000000,0.011509,0.272000
4,true,false,true,3.629054,3.011497,303.048054,300.036557,0.009937,0.581000
3,true,false,true,3.491953,2.903752,303.078953,300.175201,0.009581,0.413000
1,true,false,true,3.200050,3.000699,303.046050,300.045351,0.009902,0.154000
0,true,false,true,3.041644,2.975219,303.041644,300.066425,0.009818,0.000000
