id,is_terminated,is_working,is_available,lastWorked,busyTime,up_time,idle_time,efficiency,created_time
i18-f2,true,false,true,35999.962849,5599.135518,35997.310000,30398.174482,0.155543,2.782000
i19-f3,true,false,true,6.227044,2.926796,303.294044,300.367248,0.009650,2.933000
i16-f0,true,false,true,5.754390,3.017851,303.291390,300.273539,0.009950,2.463000
i17-f1,true,false,true,5.587649,2.978649,302.978649,300.000000,0.009831,2.609000
i15-f7,true,false,true,5.293763,2.962284,302.979763,300.017479,0.009777,2.314000
i14-f6,true,false,true,5.155844,2.993844,302.993844,300.000000,0.009881,2.162000
i10-f2,true,false,true,5.138019,3.515928,303.606019,300.090091,0.011581,1.532000
i13-f5,true,false,true,4.989645,2.986457,302.993645,300.007188,0.009857,1.996000
i11-f3,true,false,true,4.841953,2.903752,303.150953,300.247201,0.009579,1.691000
i12-f4,true,false,true,4.833443,2.989443,302.989443,300.000000,0.009866,1.844000
i9-f1,true,false,true,4.537113,3.022812,303.167113,300.144301,0.009971,1.370000
i8-f0,true,false,true,4.237644,2.975219,303.015644,300.040425,0.009819,1.222000
i7-f7,true,false,true,4.065763,2.962284,303.002763,300.040479,0.009776,1.063000
i2-f2,true,false,true,3.915019,3.515928,303.617019,300.101091,0.011580,0.298000
i6-f6,true,false,true,3.900844,2.993844,302.993844,300.000000,0.009881,0.907000
i4-f4,true,false,true,3.744054,3.011497,303.134054,300.122557,0.009935,0.610000
i5-f5,true,false,true,3.729812,2.961812,302.961812,300.000000,0.009776,0.768000
i3-f3,true,false,true,3.589953,2.903752,303.136953,300.233201,0.009579,0.453000
i1-f1,true,false,true,3.268050,3.000699,303.113050,300.112351,0.009900,0.155000
i0-f0,true,false,true,3.094644,2.975219,303.094644,300.119425,0.009816,0.000000
