id,is_terminated,is_working,is_available,lastWorked,busyTime,up_time,idle_time,efficiency,created_time
i12-f4,true,false,true,36000.006782,4370.769859,11311.811000,6941.041141,0.386390,24688.189000
i10-f2,true,false,true,35999.942435,6695.929929,17986.022000,11290.092071,0.372285,18013.978000
i14-f6,true,false,true,35994.925561,574.624820,1485.894000,911.269180,0.386720,34514.106000
i13-f5,true,false,true,34514.108179,819.249634,2259.833179,1440.583545,0.362527,32554.275000
i11-f3,true,false,true,32554.290546,3348.130518,8731.790546,5383.660028,0.383441,24122.500000
i9-f1,true,false,true,24688.189865,2832.472668,7602.984865,4770.512197,0.372547,17385.205000
i8-f0,true,false,true,24122.502322,3350.234457,8656.260322,5306.025865,0.387030,15766.242000
i7-f7,true,false,true,18013.978014,4103.317656,11063.069014,6959.751358,0.370902,7250.909000
i1-f1,true,false,true,17385.207506,6547.019801,17685.189506,11138.169705,0.370198,0.018000
i3-f3,true,false,true,15818.903642,5981.005962,15456.577642,9475.571680,0.386955,662.326000
i6-f6,true,false,true,7250.909502,267.649543,1050.357502,782.707959,0.254818,6500.552000
i5-f5,true,false,true,6500.553117,248.732111,900.001117,651.269006,0.276369,5900.552000
i4-f4,true,false,true,5900.553975,1759.245802,5016.557975,3257.312173,0.350688,1183.996000
i0-f0,true,false,true,1183.996855,442.658425,1483.996855,1041.338430,0.298288,0.000000
i2-f2,true,false,true,662.326678,261.893519,961.404678,699.511159,0.272407,0.922000
