id,is_terminated,is_working,is_available,lastWorked,busyTime,up_time,idle_time,efficiency,created_time
i0-f0,true,false,true,9000.015704,3129.735605,9000.011000,5870.275395,0.347748,0.000000
i11-f3,true,false,true,8999.986450,187.965151,592.083418,404.118267,0.317464,8407.927582
i8-f0,true,false,true,8999.738536,1298.064436,3730.538830,2432.474394,0.347956,5269.472170
i10-f2,true,false,true,8407.926750,178.440568,829.567056,651.126488,0.215101,7878.359694
i3-f3,true,false,true,7878.358713,2587.063671,8135.523002,5548.459331,0.317996,42.835711
i9-f1,true,false,true,7534.505068,332.565182,1342.886027,1010.320845,0.247650,6491.619041
i7-f7,true,false,true,5534.776924,745.199621,2461.705151,1716.505530,0.302717,3373.071773
i6-f6,true,false,true,3373.070962,224.403839,998.812263,774.408424,0.224671,2674.258699
i5-f5,true,false,true,2674.258029,337.182422,1227.055078,889.872656,0.274790,1747.202951
i1-f1,true,false,true,1747.202951,606.966469,2047.185951,1440.219482,0.296488,0.017000
i4-f4,true,false,true,819.683762,3.340697,314.776092,311.435395,0.010613,804.907670
i2-f2,true,false,true,288.272761,30.135418,587.496052,557.360634,0.051295,0.776709
