id,is_terminated,is_working,is_available,lastWorked,busyTime,up_time,idle_time,efficiency,created_time
i148-f4,true,false,true,8999.984172,1292.247708,3939.256008,2647.008300,0.328044,5060.746992
i152-f0,true,false,true,9000.001976,125.219320,385.035161,259.815841,0.325215,8614.967839
i151-f7,true,false,true,8995.454774,426.421925,1192.818466,766.396541,0.357491,7807.184534
i150-f6,true,false,true,8614.967069,519.835500,1687.506437,1167.670937,0.308049,7227.460632
i142-f6,true,false,true,7807.183889,2757.715949,8104.240889,5346.524940,0.340281,2.943000
i149-f5,true,false,true,7229.648283,218.783521,1005.884516,787.100995,0.217504,6523.763767
i145-f1,true,false,true,6524.309793,1201.869603,3965.356187,2763.486584,0.303092,2858.953606
i147-f3,true,false,true,5833.830983,460.878919,1656.557323,1195.678404,0.278215,4477.273660
i141-f5,true,false,true,4480.176331,1504.558175,4777.249331,3272.691156,0.314942,2.927000
i146-f2,true,false,true,3854.363046,39.023330,439.340278,400.316948,0.088823,3715.022768
i144-f0,true,false,true,3189.815778,1166.036937,3486.838778,2320.801841,0.334411,2.977000
i139-f3,true,false,true,5.915681,3.033681,303.033681,300.000000,0.010011,2.882000
i136-f0,true,false,true,5.913499,3.077483,303.090499,300.013016,0.010154,2.823000
i143-f7,true,false,true,5.884887,2.924887,302.924887,300.000000,0.009655,2.960000
i140-f4,true,false,true,5.866485,2.962485,302.962485,300.000000,0.009778,2.904000
i137-f1,true,false,true,5.864473,3.014294,303.024473,300.010179,0.009947,2.840000
i133-f5,true,false,true,5.816450,3.041756,303.059450,300.017694,0.010037,2.757000
i138-f2,true,false,true,5.806739,2.944739,302.944739,300.000000,0.009720,2.862000
i131-f3,true,false,true,5.800508,3.080422,303.083508,300.003086,0.010164,2.717000
i134-f6,true,false,true,5.764027,2.982027,302.982027,300.000000,0.009842,2.782000
i129-f1,true,false,true,5.736837,3.035131,303.052837,300.017706,0.010015,2.684000
i135-f7,true,false,true,5.720887,2.924887,302.924887,300.000000,0.009655,2.796000
i128-f0,true,false,true,5.720771,3.053984,303.065771,300.011787,0.010077,2.655000
i132-f4,true,false,true,5.703485,2.962485,302.962485,300.000000,0.009778,2.741000
i117-f5,true,false,true,5.667769,3.169856,303.238769,300.068913,0.010453,2.429000
i130-f2,true,false,true,5.646739,2.944739,302.944739,300.000000,0.009720,2.702000
i123-f3,true,false,true,5.621233,3.054914,303.062233,300.007319,0.010080,2.559000
i126-f6,true,false,true,5.605027,2.982027,302.982027,300.000000,0.009842,2.623000
i125-f5,true,false,true,5.570372,2.968372,302.968372,300.000000,0.009798,2.602000
i127-f7,true,false,true,5.558887,2.924887,302.924887,300.000000,0.009655,2.634000
i124-f4,true,false,true,5.545485,2.962485,302.962485,300.000000,0.009778,2.583000
i120-f0,true,false,true,5.518213,3.030213,303.030213,300.000000,0.010000,2.488000
i122-f2,true,false,true,5.502069,2.963808,302.966069,300.002261,0.009783,2.536000
i121-f1,true,false,true,5.477716,2.967716,302.967716,300.000000,0.009795,2.510000
i118-f6,true,false,true,5.468752,3.006779,303.018752,300.011973,0.009923,2.450000
i116-f4,true,false,true,5.429109,3.004891,303.020109,300.015218,0.009916,2.409000
i115-f3,true,false,true,5.427681,3.033681,303.033681,300.000000,0.010011,2.394000
i119-f7,true,false,true,5.391887,2.924887,302.924887,300.000000,0.009655,2.467000
i112-f0,true,false,true,5.384771,3.053984,303.058771,300.004787,0.010077,2.326000
i109-f5,true,false,true,5.361450,3.041756,303.091450,300.049694,0.010036,2.270000
i113-f1,true,false,true,5.343105,2.986821,302.997105,300.010284,0.009858,2.346000
i114-f2,true,false,true,5.311739,2.944739,302.944739,300.000000,0.009720,2.367000
i110-f6,true,false,true,5.298752,3.006779,303.008752,300.001973,0.009923,2.290000
i102-f6,true,false,true,5.270220,3.083305,303.140220,300.056915,0.010171,2.130000
i107-f3,true,false,true,5.263681,3.033681,303.033681,300.000000,0.010011,2.230000
i111-f7,true,false,true,5.229887,2.924887,302.924887,300.000000,0.009655,2.305000
i108-f4,true,false,true,5.208485,2.962485,302.962485,300.000000,0.009778,2.246000
i104-f0,true,false,true,5.198213,3.030213,303.030213,300.000000,0.010000,2.168000
i105-f1,true,false,true,5.187105,2.986821,302.997105,300.010284,0.009858,2.190000
i106-f2,true,false,true,5.154739,2.944739,302.944739,300.000000,0.009720,2.210000
i96-f0,true,false,true,5.150036,3.120370,303.148036,300.027666,0.010293,2.002000
i103-f7,true,false,true,5.109270,2.949157,302.962270,300.013113,0.009734,2.147000
i99-f3,true,false,true,5.086681,3.033681,303.033681,300.000000,0.010011,2.053000
i101-f5,true,false,true,5.067372,2.968372,302.968372,300.000000,0.009798,2.099000
i95-f7,true,false,true,5.040143,3.032754,303.050143,300.017389,0.010007,1.990000
i100-f4,true,false,true,5.035485,2.962485,302.962485,300.000000,0.009778,2.073000
i97-f1,true,false,true,4.984716,2.967716,302.967716,300.000000,0.009795,2.017000
i98-f2,true,false,true,4.973739,2.944739,302.944739,300.000000,0.009720,2.029000
i94-f6,true,false,true,4.952027,2.982027,302.982027,300.000000,0.009842,1.970000
i91-f3,true,false,true,4.934681,3.033681,303.033681,300.000000,0.010011,1.901000
i89-f1,true,false,true,4.925837,3.035131,303.071837,300.036706,0.010015,1.854000
i93-f5,true,false,true,4.906372,2.968372,302.968372,300.000000,0.009798,1.938000
i92-f4,true,false,true,4.883485,2.962485,302.962485,300.000000,0.009778,1.921000
i88-f0,true,false,true,4.862213,3.030213,303.030213,300.000000,0.010000,1.832000
i85-f5,true,false,true,4.848450,3.041756,303.063450,300.021694,0.010037,1.785000
i90-f2,true,false,true,4.819739,2.944739,302.944739,300.000000,0.009720,1.875000
i83-f3,true,false,true,4.804233,3.054914,303.060233,300.005319,0.010080,1.744000
