id,is_terminated,is_working,is_available,lastWorked,busyTime,up_time,idle_time,efficiency,created_time
i12-f4,true,false,true,9000.003672,110.724069,335.044358,224.320289,0.330476,8664.955642
i8-f0,true,false,true,8999.988337,1862.878000,5454.338000,3591.460000,0.341541,3545.662000
i9-f1,true,false,true,8999.623980,1431.856327,4225.959230,2794.102903,0.338824,4774.040770
i11-f3,true,false,true,8665.041578,198.474842,876.471647,677.996805,0.226448,8088.569931
i10-f2,true,false,true,8090.628584,930.154296,2906.463290,1976.308994,0.320030,5484.165294
i1-f1,true,false,true,6104.446763,2054.032721,6404.430763,4350.398042,0.320721,0.016000
i7-f7,true,false,true,5053.691773,1053.870336,3156.605221,2102.734885,0.333862,2197.086552
i6-f6,true,false,true,3545.664878,573.394510,2078.052974,1504.658464,0.275929,1767.611904
i5-f5,true,false,true,2304.679861,432.754278,1477.820325,1045.066047,0.292833,1126.859536
i4-f4,true,false,true,1767.611904,337.092334,1293.049125,955.956791,0.260696,774.562779
i0-f0,true,false,true,1176.710237,459.890570,1476.710237,1016.819667,0.311429,0.000000
i2-f2,true,false,true,774.737679,263.082433,1073.912997,810.830564,0.244976,0.824682
i3-f3,true,false,true,3.759997,0.462031,300.786997,300.324966,0.001536,2.973000
