id,is_terminated,is_working,is_available,lastWorked,busyTime,up_time,idle_time,efficiency,created_time
i145-f1,true,false,true,9000.009090,3138.480239,8361.049000,5222.568761,0.375369,638.954000
i147-f3,true,false,true,8999.942467,1750.004099,4172.268000,2422.263901,0.419437,4827.735000
i148-f4,true,false,true,8999.135059,827.267112,2076.122000,1248.854888,0.398467,6923.881000
i146-f2,true,false,true,6923.882320,983.559472,3067.733320,2084.173848,0.320614,4156.149000
i138-f2,true,false,true,4829.391472,1924.620868,5126.597472,3201.976604,0.375419,2.794000
i142-f6,true,false,true,4158.651538,1555.870058,4455.771538,2899.901480,0.349181,2.880000
i130-f2,true,false,true,641.463471,245.390184,938.840471,693.450287,0.261376,2.623000
i122-f2,true,false,true,6.070763,3.565051,303.617763,300.052712,0.011742,2.453000
i137-f1,true,false,true,5.944366,3.109163,303.168366,300.059203,0.010256,2.776000
i139-f3,true,false,true,5.872880,2.973925,303.055880,300.081955,0.009813,2.817000
i144-f0,true,false,true,5.871575,2.953575,302.953575,300.000000,0.009749,2.918000
i143-f7,true,false,true,5.838521,2.940521,302.940521,300.000000,0.009707,2.898000
i140-f4,true,false,true,5.824443,2.989443,302.989443,300.000000,0.009866,2.835000
i114-f2,true,false,true,5.819909,3.492909,303.492909,300.000000,0.011509,2.327000
i141-f5,true,false,true,5.819812,2.961812,302.961812,300.000000,0.009776,2.858000
i136-f0,true,false,true,5.729644,2.975219,302.976644,300.001425,0.009820,2.753000
i134-f6,true,false,true,5.694844,2.993844,302.993844,300.000000,0.009881,2.701000
i129-f1,true,false,true,5.690964,3.066373,303.085964,300.019591,0.010117,2.605000
i135-f7,true,false,true,5.667521,2.940521,302.940521,300.000000,0.009707,2.727000
i106-f2,true,false,true,5.658909,3.492909,303.492909,300.000000,0.011509,2.166000
i132-f4,true,false,true,5.651443,2.989443,302.989443,300.000000,0.009866,2.662000
i133-f5,true,false,true,5.640812,2.961812,302.961812,300.000000,0.009776,2.679000
i126-f6,true,false,true,5.629132,3.064589,303.097132,300.032543,0.010111,2.532000
i128-f0,true,false,true,5.571644,2.975219,302.985644,300.010425,0.009820,2.586000
i131-f3,true,false,true,5.532314,2.880799,302.886314,300.005515,0.009511,2.646000
i124-f4,true,false,true,5.503054,3.011497,303.012054,300.000557,0.009939,2.491000
i127-f7,true,false,true,5.501521,2.940521,302.940521,300.000000,0.009707,2.561000
i118-f6,true,false,true,5.486599,3.039457,303.099599,300.060142,0.010028,2.387000
i98-f2,true,false,true,5.483909,3.492909,303.492909,300.000000,0.011509,1.991000
i125-f5,true,false,true,5.472812,2.961812,302.961812,300.000000,0.009776,2.511000
i121-f1,true,false,true,5.465113,3.022812,303.030113,300.007301,0.009975,2.435000
i120-f0,true,false,true,5.399644,2.975219,302.984644,300.009425,0.009820,2.415000
i110-f6,true,false,true,5.380717,3.088306,303.128717,300.040411,0.010188,2.252000
i117-f5,true,false,true,5.364645,2.986457,302.986645,300.000188,0.009857,2.378000
i116-f4,true,false,true,5.344443,2.989443,302.989443,300.000000,0.009866,2.355000
i119-f7,true,false,true,5.340521,2.940521,302.940521,300.000000,0.009707,2.400000
i90-f2,true,false,true,5.333909,3.492909,303.492909,300.000000,0.011509,1.841000
i123-f3,true,false,true,5.329485,2.859485,302.859485,300.000000,0.009442,2.470000
i113-f1,true,false,true,5.298050,3.000699,303.001050,300.000351,0.009903,2.297000
i112-f0,true,false,true,5.261644,2.975219,302.979644,300.004425,0.009820,2.282000
